id,date,cod_account,account,short_class,class,transaction_type,name,memodescription,revenueexpenses,amount
1,2022-01-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,January SaaS Subscription,REVENUE,45000
2,2022-01-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,January SaaS Subscription,REVENUE,38000
3,2022-01-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,75000
4,2022-01-05,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - January,EXPENSES,2000
5,2022-01-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,1500
6,2022-01-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,5000
7,2022-01-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,8500
8,2022-01-15,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,6500
9,2022-01-15,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,4500
10,2022-01-20,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,2500
11,2022-01-25,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4500
12,2022-01-31,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,500
13,2022-01-31,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,1500
14,2022-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,February SaaS Subscription,REVENUE,45500
15,2022-02-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,February SaaS Subscription,REVENUE,38500
16,2022-02-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,76000
17,2022-02-05,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - February,EXPENSES,2050
18,2022-02-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,1520
19,2022-02-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,5100
20,2022-02-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,8600
21,2022-02-15,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,6550
22,2022-02-15,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,4550
23,2022-02-20,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,2600
24,2022-02-25,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4600
25,2022-02-28,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,550
26,2022-02-28,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,1550
27,2022-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,March SaaS Subscription,REVENUE,46000
28,2022-03-01,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,March SaaS Subscription,REVENUE,39000
29,2022-03-01,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,77000
30,2022-03-05,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - March,EXPENSES,2100
31,2022-03-05,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,1540
32,2022-03-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,5200
33,2022-03-10,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn Ads,Premium Advertising,EXPENSES,8700
34,2022-03-15,60800,60800 Payroll Expenses,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,6600
35,2022-03-15,60800,60800 Payroll Expenses,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,4600
36,2022-03-20,61000,"61000 Travel, Meals & Entertainment",S&M,Sales & Marketing,Expense,Marriott,Client Meeting Hotel Stay,EXPENSES,2650
37,2022-03-25,60700,60700 Professional Services,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,4700
